,Pub Date,Headline+abstract,predicted
71,2013-03-15,"Daily Report: Samsung Invades Apple’s Turf : Increasing the stakes in the smartphone battle, the South Korean manufacturer showed off the Galaxy S IV, the latest version of its flagship device, Brian X. Chen and Nick Wingfield report on Friday in The New York Times.",1.0
73,2013-03-19,"Samsung Speaks Up First About a Smart Watch : Samsung Electronics has made it clear that it is making a wristwatch, even as Apple is rumored to be working on a smart watch itself. It is a rare for a big tech company to voluntarily reveal a future product.",1.0
79,2013-03-20,"Today’s Scuttlebot: Amazon-C.I.A. Deal, and Googling for GIFs : The technology reporters and editors of The New York Times scour the Web for important and peculiar items. For Wednesday, selections include Amazon setting up the Kindle as a place to store online articles for reading later, how the explosion of cellphones has put drone technology into the public domain and within the budgets of hobbyists, and Apple’s great “I’m a Mac and I’m a PC’ ads collected on YouTube.",1.0
70,2013-03-20,"Intertrust Sues Apple, Charging Patent Violations : Intertrust, which received a huge patent infringement settlement from Microsoft nearly a decade ago, has turned its focus to Apple with a lawsuit filed on Wednesday.",0.0
89,2013-03-22,Europe Weighs iPhone Sale Deals With Carriers for Antitrust Abuse : Some wireless carriers contend Apple’s strict contracts are putting other cellphone makers at a disadvantage.,0.0
88,2013-03-22,Daily Report: Europe Weighs iPhone Sale Deals With Carriers for Antitrust Abuse : European Union regulators are examining the contracts Apple strikes with cellphone carriers that sell its iPhone for possible antitrust violations after several carriers complained that the deals throttled competition.,0.0
82,2013-03-25,"A Highly Public Trip for China’s President, and Its First Lady : China’s leadership has been promoting a concept called the “Chinese Dream” that depends on continued economic growth and stable relations with the United States. Apple, meanwhile, finds itself the target of attacks in the official media.",1.0
80,2013-03-25,"With Acquisition, Apple Looks Indoors for Future of Maps : Apple has acquired WiFiSlam, a start-up company that helps improve the accuracy of indoor maps and other services. Indoor maps look poised to become a new battleground between big tech companies.",2.0
81,2013-03-28,"An Easy Way to Capture Live Video of Your iPhone’s Screen : A $13 program called Reflector transmits the video image from your iPhone, iPod or iPad to your Macintosh or PC for easy recording or projecting. It’s a great help for anyone making videos or trying to conduct a presentation.",1.0
90,2013-04-01,"Apple of Discord in China : There are a number of theories about why official Chinese media outlets are attacking Apple. And while many Chinese commentators online are mocking the state media, the company does appear to have a problem with Beijing.",0.0
91,2013-04-01,"Pressured by China, Apple Apologizes for Warranty Policies : Apple’s chief, Timothy D. Cook, said he would improve customer service after increasingly ferocious criticism from Chinese media outlets.",0.0
92,2013-04-02,"Daily Report: Pressured by China, Apple Apologizes for Warranty Policies : Apple’s chief executive, Tim Cook, took the unusual step on Monday of apologizing to Chinese customers over the company’s warranty policy and said he would improve customer service in the country, David Barboza and Nick Wingfield report in Tuesday’s New York Times.",0.0
99,2013-04-04,"With Price Cuts, Retailers Anticipate New iPad : Apple has been introducing new versions of its products for so long that it’s a question of which month, not whether, it will introduce new iPads and iPhones. Best Buy on Wednesday took its best guess that the latest iPads are coming soon from Apple by slashing prices on one line of the Apple tablets by 30 percent.",0.0
95,2013-04-04,"Samsung Plans Mini-Stores in Best Buys : Samsung Electronics, giving Apple some of its own medicine, is setting up mini-stores inside Best Buy stores across the United States this summer.",2.0
108,2013-04-11,"Jon Kessler: ‘The Web’ : Jon Kessler explores society’s — and the art world’s — obsession with Apple and with digital technology in “The Web,” a kinetic installation at the Swiss Institute.",1.0
105,2013-04-15,"Today’s Scuttlebot:  Wireless Pain and Apple Paychecks : The technology reporters and editors of The New York Times scour the Web for important and peculiar items. For Monday, selections include highly compensated at Apple, where four of the five highest-paid employees at the nation’s biggest companies work, some differences between reading on paper and on a screen, and the environmental costs of bitcoins.",1.0
104,2013-04-16,"Google Emulates Apple in Restricting Apps for Glass : In a departure from previous products like Android, Google has set extensive limits on the apps developed for its Internet-connected glasses.",0.0
106,2013-04-16,"Amazon Takes a Nibble Out of Apple iTunes Downloads : According to a new study released by NPD Group, the market research firm, Amazon’s share of paid music downloads rose to 22 percent from 15 percent a year earlier.",2.0
107,2013-04-16,"Public Theater Season to Include ‘Fun Home’ and New Apple Family Series Play : The season will also include new work from Suzan-Lori Parks, Mike Daisey and Elevator Repair Service.",1.0
103,2013-04-17,"Q&A: Skipping Songs When Shuffling : Apple’s iTunes program includes a setting that lets you take holiday music, podcasts and other types of audio out of the mix when you shuffle songs.",1.0
102,2013-04-18,Steady Slide in Share Value : Apple stock price has been falling.,0.0
100,2013-04-19,"After Apple’s Rise, a Bruising Fall : Shares of Apple were trading for more than $700 last year, but they have tumbled back and analysts are trying to understand why.",0.0
101,2013-04-19,"Daily Report: Apple’s Profits Are Strong but Its Shares Are Skidding : Shares of Apple traded for more than $700 last year, but they have tumbled and analysts are trying to understand why, Nick Wingfield and Nathaniel Popper write in The New York Times.",0.0
116,2013-04-23,"Apple’s Buyback Takes a Bite Out of Its Cash Pile, Temporarily : Despite the attention-grabbing numbers, the iPad maker could quickly replace the withdrawal from its cash hoard, which now totals $145 billion.",1.0
113,2013-04-23,"Einhorn Supports Apple’s Big Payouts : Apple’s huge gift to investors has at least one big fan: David Einhorn, the prominent hedge fund manager who took on the company over its payouts to shareholders.",2.0
119,2013-04-23,"Why Tim Cook Is Like Steve Ballmer : Apple and Microsoft have posted poor stock performance under their current leaders, despite substantial growth in revenue and profits.",0.0
111,2013-04-23,"The Check Is in the Mail, From Apple : Apple iPhone 4 owners began receiving $15 checks in the mail Tuesday as a result of a class action settled by the company last year.",1.0
112,2013-04-23,"As Profit Slips, Apple Looks to Reward Shareholders : The technology giant, which reported the first decline in quarterly earnings in a decade, announced plans to spend more than $100 billion on stock buybacks and dividends.",0.0
114,2013-04-24,"Comparing the Valuations Behind Amazon and Apple Shares : Investors seem to be starry-eyed about Amazon’s valuation, particularly when compared with Apple’s.",1.0
117,2013-04-26,Samsung Reports 42 Percent Jump in Profit : The South Korean electronics giant reported its sixth straight quarter of profit growth as it increased its assault on Apple’s iPhone.,2.0
110,2013-04-29,"Apple and the Debt Market : With an expanded budget for dividends and stock buybacks, Apple could be on track to borrow nearly $20 billion a year, putting the company in the same issuance ballpark as huge global banks.",0.0
115,2013-04-30,"To Satisfy Its Investors, Cash-Rich Apple Borrows Money : Why would a company with $145 billion in cash even bother to issue debt? The answer has a lot to do with the frenzied state of the bond markets.",1.0
129,2013-05-02,"Tip of the Week: Find Your System Information Quickly : You can easily find out the type of processor the computer uses, the amount of memory installed and other details of your PC or Mac with menu commands or keyboard shortcuts.",1.0
122,2013-05-02,Apple’s Move Keeps Profit Out of Reach of Taxes : Apple’s move to sell bonds while holding huge amounts of cash is one example of how corporations — legally — avoid paying taxes.,0.0
128,2013-05-03,"Ellen DeGeneres’s iPhone Game Quickly Becomes a Sensation : A team at the Ellen Degeneres show came up with an idea for an iPhone game. The day of its release, it quickly became the bestselling app in the App Store.",2.0
120,2013-05-05,"Accessories No Longer Tethered to Apple : Manufacturers are gravitating toward wireless connections for Apple’s products, which is helping the market for competitors’ mobile devices.",0.0
127,2013-05-06,"Europe Rules Against Patent Move by Google’s Motorola Unit : The European Union on Monday made a preliminary antitrust finding against Motorola Mobility, saying it had abused its dominance in wireless patents by seeking an injunction against Apple in Germany.",0.0
121,2013-05-06,"Daily Report: Apple’s Grip on Accessories Is Slipping : Manufacturers are gravitating toward wireless connections for Apple’s products, which is helping the market for competitors’ mobile devices.",0.0
124,2013-05-07,"Pleased by Apple’s Move, Einhorn Raises His Bet : David Einhorn said Tuesday that his firm had raised the size of its Apple holdings. The move came after Apple agreed to quintuple the size of its stock buyback program and increase its dividend.",2.0
126,2013-05-07,"Foxconn Tries to Move Past the iPhone : Foxconn, an electronics contractor in China that was criticized for poor conditions in factories making Apple products, is moving to develop its own goods, like televisions.",1.0
123,2013-05-08,"Apple’s Peter Oppenheimer Is Highest Paid Finance Chief : Apple’s chief financial officer, Peter Oppenheimer, who has helped the company sidestep billions of dollars in taxes, was the highest paid C.F.O. of 2012, according to data compiled by Bloomberg News.",2.0
125,2013-05-08,"The iPhone: Smart, but Sometimes Rude : There is no way to disable notifications on the iPhone while talking on the phone, which makes disruptions a widely cited problem.",1.0
137,2013-05-15,"Daily Report: Prosecutors Say Apple Had Greater Role in Fixing E-Book Prices : The Justice Department said Apple was the “ringmaster” in a conspiracy to fix e-books prices, a more direct leadership role than portrayed in the department’s April 2012 antitrust lawsuit.",0.0
132,2013-05-15,"Google Isn’t Afraid of Building for Apple’s Turf : As the search giant adds to its portfolio of products meant for devices that run Apple’s iOS operating system, it also adds more ways to collect data about customers.",1.0
136,2013-05-15,"U.S. Now Paints Apple as ‘Ringmaster’ in Its Lawsuit on E-Book Price-Fixing : According to the Justice Department, Apple took a leadership role in a price-fixing conspiracy in the market for e-books.",0.0
134,2013-05-17,Apple Fights Back in Antitrust Case Over E-Book Prices : The company is scheduled to go to trial in June over the Justice Department’s accusation that it conspired with five publishing houses to fix prices on electronic books.,0.0
135,2013-05-17,"Daily Report: Workweek Still Too Long at Apple Supplier, Audit Says : Foxconn Technology has made progress toward better safety conditions, but employees are still working longer than Chinese law allows, Vindu Goel reports in The New York Times.",0.0
138,2013-05-20,"Q&A: Getting Passes for Passbook : You do not need a special iOS app to get coupons, tickets and other digital documents that work with Apple’s Passbook electronic wallet.",1.0
133,2013-05-20,"Senate Panel Is Expected to Castigate Apple on Tax Tactics : Apple has shielded billions in cash from federal  taxes in overseas accounts, drawing Senate scrutiny.",0.0
130,2013-05-20,"Apple’s Tax Avoidance Strategies : The Times’s Charles Duhigg on the financial practices of Apple and a corporate culture that pushed for great innovation, in both products and tax strategies.",1.0
131,2013-05-20,"Apple’s Web of Tax Shelters Saved It Billions, Panel Finds : A Congressional inquiry’s findings were remarkable both for the tens of billions of dollars involved and for Apple’s audacity in saying some of its subsidiaries were stateless and beyond any tax authority’s reach.",0.0
147,2013-05-21,"Live Blog: Apple and Corporate Taxes : A Senate panel questioned Timothy D. Cook, Apple’s chief executive, and other Apple executives about how Apple sidestepped tens of billions of dollars in taxes.",0.0
141,2013-05-21,Apple and Tax Avoidance : Why would Apple executives try to avoid paying billions in taxes in the United States and around the world?,0.0
149,2013-05-21,"Finding the Economic Roots of Apple’s Taxable Product : In theory, our tax system tries to trace the value of a product to its economic roots. For Apple’s design and marketing, the roots are in the United States, the author writes.",1.0
140,2013-05-23,"The Corrosive Effect of Apple’s Tax Avoidance : In a Senate subcommittee hearing on Apple’s avoidance of paying taxes, John McCain and others tried to point out how unfair the current system was to domestic corporations.",0.0
145,2013-05-23,"Torches and Pitchforks for I.R.S. but Cheers for Apple : While Wednesday’s I.R.S. hearing felt like an unforgiving, angry inquisition, senators seemed halfhearted in their desire to beat up on Apple, which has been accused of dodging taxes.",0.0
142,2013-05-24,"How Vintage Apple Computers Used to Sell : Original Apple-1 computers can now sell for hundreds of thousands of dollars at professional auctions. But the vintage machines have been selling informally for years. The story of the 1997 sale of an Apple-1, now residing at the Computer History Museum, shows how things worked in simpler times. That Apple-1 was a treasured prize for the young entrepreneur who bought it, and the sale was a financial lifeline for a struggling single mother.",2.0
146,2013-05-25,"Vintage Apple-1 Sells for Record $671,400 : An Apple-1 computer, made in 1976 and originally priced at $666, sold for a record $671,400 at an auction in Germany. The sale shows the run-up in prices for the vintage machines recently.",2.0
144,2013-05-25,The C.E.O. Triumphant (at Least at Apple and Chase) : It was a good week for leaders of two major American companies. But it brought frowns from some corporate-governance watchers.,0.0
143,2013-05-29,"Former E.P.A. Administrator Joins Apple : Lisa P. Jackson, who oversaw some of the administration’s biggest environmental initiatives, will serve as the company’s senior environmental adviser.",1.0
148,2013-05-29,"Has Apple Lost Its Cool? Its Chief Says No : At an industry conference, Tim Cook, Apple’s chief executive, struck back against claims that Apple’s innovation streak had run out.",0.0
155,2013-06-02,"Apple Is Said to Be Pressing for Internet Radio Deals : The tech giant is said to be aiming for an introduction of its streaming music service at its annual developers conference, starting June 10.",1.0
156,2013-06-03,U.S. Cites Phone Calls in Apple Pricing Case : The government presented evidence that executives of big book publishing companies discussed raising e-book prices at Apple’s behest before the introduction of the iPad.,0.0
157,2013-06-04,Calculating Apple’s True U.S. Tax Rate : Apple’s chief has said that the company paid about 30.5 percent in taxes on its profits. The author examines cash tax payments to the Treasury Department and estimates that it’s probably closer to 8.2 percent.,0.0
158,2013-06-05,"Samsung May Have Passed Apple in U.S. — for Now : Samsung Electronics may have become the top smartphone maker in the United States in May, according to an analyst’s report. Sales of Samsung’s new flagship phone, the Galaxy S4, combined with its bigger-screen Galaxy Note II and the older Galaxy S III, lifted Samsung’s sales above Apple’s, the report said.",2.0
151,2013-06-05,"In China, an Empire Built by Aping Apple : Led by Lei Jun, Xiaomi sold $2 billion in handsets in China last year, and he has carefully cultivated an image in the Steve Jobs mold.",2.0
159,2013-06-06,Publishers Tell of Disputes With Apple on E-Book Prices : The Justice Department has claimed that the publishers used Apple as a conduit to communicate with each other; Apple lawyers have sought to portray the conversations as normal business proceedings.,1.0
154,2013-06-10,"Apple Enters Net Radio’s Busy Field : The company is expected to unveil a streaming music service and other software, including a refreshed mobile operating system, at the opening of its annual developers conference Monday.",1.0
152,2013-06-10,"Highlights From Apple’s WWDC : At its annual worldwide developers conference, Apple unveiled its newest products and features, including the Mac Pro computer and iTunes Radio.",1.0
150,2013-06-10,"From Apple, an Overhaul for Mobile and the Mac : The company introduced a major redesign of its mobile software system, as well as upgrades for some Mac computers.",1.0
153,2013-06-10,"Highlights From Apple’s Conference Keynote : The annual conference for Apple developers started today with a new version of the iOS mobile operating system and a new, streaming music service.",1.0
165,2013-06-11,"Daily Report: In Revamping, Apple Wants to Show It Can Still Innovate : Apple wants to prove that it has not lost the ability to innovate in a post-Steve Jobs world. The company introduced a major redesign of iOS, its mobile software system, as well as upgrades for some Mac computers, Brian X. Chen reports in The New York Times.",1.0
164,2013-06-12,"Love and Hate for Apple’s New Mobile Software : After Apple demonstrated its new mobile software system, iOS 7, Twitter lit up with reactions from Apple fans, technology journalists and even some former Apple employees. Some absolutely loved the new design, while others despised it.",1.0
162,2013-06-14,"Apple Negotiator Defends Tactics in E-Book Trial : Eddy Cue, a senior vice president for Apple, denied that the company colluded with publishers to fix e-book prices.",0.0
163,2013-06-17,"Apple Executive Defends Pricing in Case on E-Books : Eddy Cue, a senior vice president at Apple, denied the government’s charges that the company was working with e-book publishers to raise prices.",0.0
161,2013-06-17,"Apple Releases Some Data on Government Requests : After reports of technology companies cooperating with government surveillance efforts, Apple disclosed information about how it uses data from its online services.",1.0
166,2013-06-18,"Q&A: Fixing an iPad Home Button : The button can suffer from software and hardware issues, but there are repair options and workarounds to try.",1.0
169,2013-06-18,"More Data on Privacy, but Picture Is No Clearer : Apple joined the list of companies that have disclosed information about government surveillance, but many questions remain unanswered.",1.0
160,2013-06-19,"Apple and Netflix Dominate Online Video : Many people are getting movies and TV shows over the Internet. By some measures, Apple is No. 1 in online video, but by others, Netflix leads the way.",1.0
172,2013-06-21,"Daily Report: Apple Says Antitrust Case Challenges Way Most Business Is Done : If the company is found liable for conspiring with publishers to raise e-book prices, Apple’s lawyer argued on Thursday, healthy competition and business practices in general would be affected, Brian X. Chen reports in The New York Times.",0.0
171,2013-06-21,"Outcome of E-Book Case Could Hurt Competition, Apple Lawyer Says : If the company is found liable for conspiring with publishers to raise e-book prices, healthy competition and business practices in general would be affected, Apple’s lawyer argued.",0.0
178,2013-06-26,"Test Yourself | Math, June 26, 2013 : Can you calculate the percentage by which Apple stock must increase to return to its highest value?",1.0
173,2013-06-26,"Tip of the Week: Make a Desktop Wallpaper Slideshow : When you get bored with having the same desktop wallpaper all day, you can create a background slideshow on your PC or Mac to change things up a bit.",1.0
170,2013-06-27,"Apple Urges Trade Agency to Stop Product Ban : Earlier this month, an American trade commission ordered a ban on sales of some iPhones and iPads after determining that Apple had violated a patent owned by Samsung Electronics. Now, Apple has asked a government trade agency to have the ban overturned, arguing that it would damage competition.",0.0
180,2013-07-02,Regulator in France Raids Office of Apple : Authorities reportedly want to know if Apple ordered its wholesalers not to deliver some products on time to retailers.,0.0
186,2013-07-02,"Motorola Ad Seems to Catch the ‘Made in U.S.A.’ Bug From Apple : In an advertisement promoting Motorola Mobility’s new smartphone, it borrows familiar themes from Apple, including the emphasis that it is made in America.",1.0
183,2013-07-02,"Apple’s Trademark of ‘iWatch’ Fuels Speculation : Apple, typically, is being secretive about its intentions, and may — or may not — be developing a watch that does more than tell time.",1.0
185,2013-07-03,"Q&A: Using Skype or FaceTime : Microsoft’s Skype service and Apple’s FaceTime system both allow users to make free video calls, and you can use both programs on an iPad.",1.0
181,2013-07-05,"6 Smartphones to Rival Apple in China : More and more phones are being designed for consumers in emerging markets, who are expected to account for most of the growth in smartphone sales in the coming years.",1.0
182,2013-07-10,"Fallout From Apple’s Loss on E-Books : A judge in federal court Wednesday held that the company had violated antitrust law in helping set the retail price of electronic books, and said a trial for damages would follow.",0.0
184,2013-07-10,Key Excerpts From the Apple E-Books Ruling : A federal judge on Wednesday found that Apple violated antitrust law in helping raise the retail price of e-books.,0.0
198,2013-07-13,"The E-Book Price-Fixing Conspiracy : Apple’s pact with publishers raised prices in the short term, but it also brought much-needed competition to the marketplace.",1.0
196,2013-07-16,"Sharing Files With Mac and iPad : Tips for transferring a Word file between a laptop and iPad, and how to reduce e-mail from Twitter.",1.0
