Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2017-01-30T17:35:02+0000,"Messages About iMessages, but Not From Apple",Criminals who spam never stop trying to get your personal information.,"Q. I got an email on my iPhone from “Apple iMessages” saying my user name and password had been used to log into an iPhone 6. I do have an iPhone 6, but if this is spam, how do they know? I am temporarily ignoring this, but what do I do now?",Criminals who spam never stop trying to get your personal information.,The New York Times,https://www.nytimes.com/2017/01/30/technology/personaltech/messages-about-imessages-but-not-from-apple.html
2017-01-30T02:00:03+0000,"New Apple Results Are Coming, and the Fed Prepares to Convene","After revenue declines, Apple’s results — the first since the release of the iPhone 7 — may show an increase. Fed officials will meet for the first policy-making session of the year.",Here’s a look at what’s coming up this week.,"After revenue declines, Apple’s results — the first since the release of the iPhone 7 — may show an increase. Fed officials will meet for the first policy-making session of the year.",The New York Times,https://www.nytimes.com/2017/01/29/business/new-apple-results-are-coming-and-the-fed-prepares-to-convene.html
2017-01-21T00:25:18+0000,"Apple Adds to Qualcomm’s Troubles, Filing Lawsuit Over Rebates","The chip maker’s technology is at heart of the smartphone revolution. But as the company’s influence grows, it is gaining unwanted antitrust attention.","SAN FRANCISCO — By mastering some tough computer chip technology and then pulling off an audacious business strategy based on selling its smartphone knowledge, Qualcomm has made billions of dollars and seized influence in the tech industry.","The chip maker’s technology is at heart of the smartphone revolution. But as the company’s influence grows, it is gaining unwanted antitrust attention.",The New York Times,https://www.nytimes.com/2017/01/20/technology/apple-qualcomm-lawsuits.html
2017-01-22T15:00:17+0000,Retired Big Apple Circus Animals Prepare for Their Second Act,"Jenny Vidbel, a former circus trainer, has welcomed horses, pigs and dogs to her New York farm, where she plans to pair animals with children and older adults in a rehabilitative program.","WINDHAM, N.Y. — See the mailbox? This is hallowed starlet ground.","Jenny Vidbel, a former circus trainer, has welcomed horses, pigs and dogs to her New York farm, where she plans to pair animals with children and older adults in a rehabilitative program.",The New York Times,https://www.nytimes.com/2017/01/22/nyregion/retired-big-apple-circus-animals-prepare-for-their-second-act.html
2017-01-27T16:50:24+0000,Find the Right Power Cord for Your MacBook,"Apple has many adapters for charging the laptop’s battery, so be sure to get the one designed for your model.",Q. I lost my MacBook power cord. I went on Apple’s site to buy a new one but they had a bunch listed and I don’t know which one is right for my model. How can I get the correct charger?,"Apple has many adapters for charging the laptop’s battery, so be sure to get the one designed for your model.",The New York Times,https://www.nytimes.com/2017/01/27/technology/personaltech/find-the-right-power-cord-for-your-macbook.html
2017-01-25T16:49:38+0000,Dumping a Bad App? Tips for a Painless Breakup,"If a once-beloved app no longer brings you joy, it may be time to move on. Here’s how to know when to look for something better and how to take your data with you.","EVERYONE is familiar with this scenario: An app you once loved no longer brings the same joy. It’s gotten buggy over time, or an update transformed it to the point it became unusable.","If a once-beloved app no longer brings you joy, it may be time to move on. Here’s how to know when to look for something better and how to take your data with you.",The New York Times,https://www.nytimes.com/2017/01/25/technology/personaltech/dumping-a-bad-app-tips-for-a-painless-breakup.html
2017-01-23T16:12:52+0000,Fighting iPhone Battery Life Blues,"At least one iPhone model has some units with a defective power cell, but other factors like age and temperature can make the battery conk out.",Q. My iPhone turns itself off when I’m in the middle of using it. Is this a battery issue?,"At least one iPhone model has some units with a defective power cell, but other factors like age and temperature can make the battery conk out.",The New York Times,https://www.nytimes.com/2017/01/23/technology/personaltech/fighting-the-iphone-battery-blues.html
2017-01-30T19:27:09+0000,Navarro on ‘Garbage’ Bank Analysts,"Peter Navarro of the National Trade Council called Citigroup and Goldman Sachs “garbage studies,” adding “the Dow just hit 20,000, how do you like them apples?”","Peter Navarro of the National Trade Council called Citigroup and Goldman Sachs “garbage studies,” adding “the Dow just hit 20,000, how do you like them apples?”","Peter Navarro of the National Trade Council called Citigroup and Goldman Sachs “garbage studies,” adding “the Dow just hit 20,000, how do you like them apples?”",CNBC,https://www.nytimes.com/video/business/dealbook/100000004902160/navarro-on-garbage-bank-analysts.html
2017-01-24T00:00:00+0000,Sweet Gorgonzola Fondue,,"Try serving this supremely creamy blue cheese fondue with apples, pears or grapes, and crusty cubes of French bread. It is divine, and it also comes together in about 15 minutes.",,,https://cooking.nytimes.com/recipes/1018557-sweet-gorgonzola-fondue
2017-01-23T14:46:23+0000,"Tidal, Jay Z’s Streaming Service, Sells a Stake to Sprint","Sprint bought a third of the service, which has struggled in a field dominated by streaming giants like Apple Music, Spotify and Pandora.",Don’t count Jay Z out of the streaming wars quite yet.,"Sprint bought a third of the service, which has struggled in a field dominated by streaming giants like Apple Music, Spotify and Pandora.",The New York Times,https://www.nytimes.com/2017/01/23/business/media/tidal-streaming-music-jayz-sprint.html
2017-01-31T03:49:58+0000,"Starbucks, Exxon, Apple: Companies Challenging (or Silent on) Trump’s Immigration Ban",The reaction from major American companies to President Trump’s order has ranged from silence to outrage.,The reaction from major American companies to President Trump’s order has ranged from silence to outrage.,The reaction from major American companies to President Trump’s order has ranged from silence to outrage.,The New York Times,https://www.nytimes.com/interactive/2017/business/trump-immigration-ban-company-reaction.html
2017-01-31T00:00:00+0000,The Best Outdoor Security Camera,"An outdoor security camera can keep tabs on welcome (and unwelcome) visitors, package deliveries, and furry creatures helping themselves to a midnight snack in your garden. They can also be a powerful deterrent to prospective mischief-makers. Howe...","An outdoor security camera can keep tabs on welcome (and unwelcome) visitors, package deliveries, and furry creatures helping themselves to a midnight snack in your garden. They can also be a powerful deterrent to prospective mischief-makers. However, after reviewing dozens of cameras over the past seven years, we’ve yet to find a perfect model. Some...","An outdoor security camera can keep tabs on welcome (and unwelcome) visitors, package deliveries, and furry creatures helping themselves to a midnight snack in your garden. They can also be a powerful deterrent to prospective mischief-makers. However, after reviewing dozens of cameras over the past seven years, we’ve yet to find a perfect model. Some...",Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-wireless-outdoor-home-security-camera/
2017-01-31T20:36:10+0000,"Mr Bing, Selling Beijing Street Food, Opens in Midtown Manhattan","A pop-up puts down roots, McDonald’s tries a different approach, and other restaurant news.","MR BING “Did you ever have a jianbing?” asked Brian Goldberg, the entrepreneur who just opened a more permanent kiosk in Manhattan than his usual pop-ups, which sell rolled crepes typical of Beijing street food. To answer: Yes, back in 2000, from a food truck outside the Peking Opera School, which we were visiting in Beijing. They were delicious. I had forgotten about jianbing until very recently, as a few people in New York have started making them. Mr. Goldberg, a Chinese scholar who grew up in Spring Valley, N.Y., in Rockland County, became a professional luge racer and worked in finance before running a couple of places in Hong Kong. He decided a few years ago to do something, he said, “that would be interesting and make people happy.” He’d like to do his part to make jianbing as mainstream as ramen. At his colorful stand, cooks spread a thin film of batter made with mung bean and rice flours onto a griddle, break an egg on it, add herbs and condiments, flip it, roll it and cut it in two. He has come up with nontraditional versions with roast duck, marinated chicken or roast pork. The stand also sells smashed cucumber salad, steamed dumplings and, soon, an egg, cheese and ham breakfast “bing” and sweet dessert versions. Mr. Goldberg has also taken on a couple of partners and has plans for expansions, including a brick-and-mortar shop opening in March next to his commissary in Chelsea: Mr Bing, UrbanSpace Vanderbilt, 45th Street and Vanderbilt Avenue, mr-bing.com.","A pop-up puts down roots, McDonald’s tries a different approach, and other restaurant news.",The New York Times,https://www.nytimes.com/2017/01/31/dining/mr-bing-restaurant-jianbing-news.html
2017-01-31T10:30:20+0000,"Morning Agenda: Executive Order Confrontations, Deutsche Bank, Fannie and Freddie","President Trump has fired the acting attorney general, turning the confirmation of his nominee for the post into a referendum on the president’s immigration order.",The crisis around President Trump’s executive order to close borders to refugees and people from predominantly Muslim countries has continued to escalate.,"President Trump has fired the acting attorney general, turning the confirmation of his nominee for the post into a referendum on the president’s immigration order.",The New York Times,https://www.nytimes.com/2017/01/31/business/dealbook/trump-immigration-deutsche-fannie-freddie.html
2017-01-31T02:07:42+0000,Frantic Phoning Among C.E.O.s: How to Address Trump Ban?,Whispered questions among business leaders over the weekend produced no clear consensus on what to say about the President Trump’s immigration order in public.,"The phone calls flew back and forth among the nation’s top chief executives over the weekend, all asking the same questions: “What are you going to say publicly about Trump’s executive order? And what can we say about it without becoming his next punching bag?”",Whispered questions among business leaders over the weekend produced no clear consensus on what to say about the President Trump’s immigration order in public.,The New York Times,https://www.nytimes.com/2017/01/30/business/dealbook/ceo-response-trump-ban.html
2017-01-31T19:19:09+0000,"Neil Gorsuch, Rodrigo Duterte, Nintendo: Your Morning Briefing",Here’s what you need to know to start your day.,Good morning. ,Here’s what you need to know to start your day.,The New York Times,https://www.nytimes.com/2017/01/31/briefing/asia-australia-briefing.html
2017-01-31T18:07:17+0000,The New Chumley’s Raises the Culinary Bar,"A rebuilt West Village speakeasy is still lined with literary references, but the food is more ambitious and the scruffy charm has fled.","If you heard that Chumley’s is open again, you were misinformed. The dim, spare, beer-scented hideaway in the West Village is gone, torn down, not coming back. At its old address is a restaurant that has nothing in common with the original except a name, a door, an archway and framed photographs of, and jackets of books by, writers who used to drink there. Most of them wouldn’t be able to afford a cocktail there now, let alone dinner.","A rebuilt West Village speakeasy is still lined with literary references, but the food is more ambitious and the scruffy charm has fled.",The New York Times,https://www.nytimes.com/2017/01/31/dining/chumleys-review-bar-west-village.html
2017-01-31T03:33:53+0000,"In Ban on Migrants, Trump Supporters See a Promise Kept",President Trump’s new immigration policy has support among a broad and deep swath of the electorate that is anxious about terrorism.,"Sal Oliva, a hotel worker and Uber courier from Staten Island, is ecstatic about President Trump’s executive order. So are Michael Bower, an owner of a home alarm company in Seattle, and Lynn and Don Broesch, retirees from suburban Milwaukee.",President Trump’s new immigration policy has support among a broad and deep swath of the electorate that is anxious about terrorism.,The New York Times,https://www.nytimes.com/2017/01/30/us/migrants-ban-trump-supporters.html
2017-02-01T01:38:43+0000,"Amid Immigration Furor, Apple’s Chief Focuses on Apps and Music","Timothy D. Cook said the iPhone maker hoped to double its services business in the next four years, but it will be harder to predict how to deal with the Trump administration.",SAN FRANCISCO — Apple’s next big business won’t be a self-driving car or an improved smartwatch. It will be digital services like the App Store and Apple Music.,"Timothy D. Cook said the iPhone maker hoped to double its services business in the next four years, but it will be harder to predict how to deal with the Trump administration.",The New York Times,https://www.nytimes.com/2017/01/31/technology/apple-tim-cook.html
2017-02-01T17:24:07+0000,"Daily Report: At Apple, Triumphs Amid Tribulations","The company faces slowing iPhone sales growth and uncertain relations with the new president. But revenue is up, and app sales and music are taking off.","Let’s face it: Just about any boss on the planet would like to have the problems of Tim Cook, Apple’s chief executive.","The company faces slowing iPhone sales growth and uncertain relations with the new president. But revenue is up, and app sales and music are taking off.",The New York Times,https://www.nytimes.com/2017/02/01/technology/daily-report-at-apple-triumphs-amid-tribulations.html
2017-02-08T17:00:52+0000,When to Get a New iPad Mini,"Apple is traditionally quiet about its hardware updates in the works, but keep an eye on the company’s product announcement event.","Q. I have an original iPad Mini but some apps crash because it’s an older model. I would like to buy a new Mini because it fits in my handbag, but I understand that Apple may announce a new version in March — or might announce that it will no longer make the Mini. Would you recommend that I wait until I see which way Apple is going to jump, or does someone else make a tablet similar to the Mini? ","Apple is traditionally quiet about its hardware updates in the works, but keep an eye on the company’s product announcement event.",The New York Times,https://www.nytimes.com/2017/02/08/technology/personaltech/when-to-get-a-new-ipad-mini.html
2017-02-07T17:02:37+0000,How to Save iPhone Voice Mail Messages,Recent versions of Apple’s mobile operating system let you archive a voice mail message on your iPhone as an audio file.,"Q. Recently, my brother passed away. In the months leading to his death, he left me a series of voice messages on my iPhone, describing his health, his wishes, etc. I would like to archive these recordings somewhere other than on my phone. Is there a way to transfer voice messages to the computer?",Recent versions of Apple’s mobile operating system let you archive a voice mail message on your iPhone as an audio file.,The New York Times,https://www.nytimes.com/2017/02/07/technology/personaltech/saving-iphone-voice-mail-messages.html
2017-02-06T10:46:43+0000,"Tech Opposition to Trump Propelled by Employees, Not Executives","In a court filing, nearly 100 technology companies cited the “tremendous impact” of immigrants on the United States in opposing the Trump immigration ban.","In late September, a group of tech leaders started a well-publicized effort to raise $100,000 for Hillary Clinton. In flush Silicon Valley, that is spare change. But by the time the election was over, the campaign had pulled in only $76,324.","In a court filing, nearly 100 technology companies cited the “tremendous impact” of immigrants on the United States in opposing the Trump immigration ban.",The New York Times,https://www.nytimes.com/2017/02/06/business/trump-travel-ban-apple-google-facebook.html
2017-02-02T17:15:45+0000,Solving the Case of the Mac’s Disappearing Scroll Bars,"The Mac operating system often tucks an unused scroll bar out of sight, but that can be changed in the settings.","Q. I recently switched to a Mac laptop, and the Safari browser confuses me. Sometimes it has scroll bars on the side of the page, and sometimes it doesn’t. Why is this?","The Mac operating system often tucks an unused scroll bar out of sight, but that can be changed in the settings.",The New York Times,https://www.nytimes.com/2017/02/02/technology/personaltech/solving-the-case-of-the-disappearing-scroll-bars.html
2017-02-01T17:08:15+0000,When a Smartphone’s Camera Loses Its Focus,"Lens smudges and outdated software can affect the look of your photos, but replacing a damaged camera may be the ultimate fix.","Q. My phone’s camera has taken blurry photos since I dropped it. Is there a way to repair the camera, or do I need to get a new phone?","Lens smudges and outdated software can affect the look of your photos, but replacing a damaged camera may be the ultimate fix.",The New York Times,https://www.nytimes.com/2017/02/01/technology/personaltech/when-a-smartphones-camera-loses-its-focus.html
2017-02-05T20:19:06+0000,"Stem Helps Split Royalties, and Takes Off as Music Distributor","The company has quickly become a player in the industry, as a new ad for Frank Ocean’s “Blonde” highlights, by attracting independent artists who like to collaborate.","When Frank Ocean’s album “Blonde” came out in August, it went straight to No. 1 and became the talk of the music business because it was released completely outside the usual channels of the recording industry. The mystery was how Mr. Ocean and his team did it.","The company has quickly become a player in the industry, as a new ad for Frank Ocean’s “Blonde” highlights, by attracting independent artists who like to collaborate.",The New York Times,https://www.nytimes.com/2017/02/05/business/media/stem-helps-split-royalties-and-takes-off-as-music-distributor.html
2017-02-04T05:00:05+0000,"Russell Koplin, Eric Friel","She is an actress on stage and screen, and he is a director of a hedge fund. They got engaged while apple-picking.","Russell Arden Koplin and Eric Michael Friel were married Feb. 4 at Marc Forgione, a restaurant in Manhattan. Susan S. Danoff, a retired judge of Family Court in Brooklyn, officiated.","She is an actress on stage and screen, and he is a director of a hedge fund. They got engaged while apple-picking.",The New York Times,https://www.nytimes.com/2017/02/04/fashion/weddings/russell-koplin-eric-friel.html
2017-02-09T16:48:23+0000,Digitize Your CDs and Reclaim Your Closet,"Even if your computer lacks the storage space or a built-in disc drive, you have ways to transform that pile of dusty boxes into digital music files.","Q. I have a closet full of compact discs (some out of print) that I’m not quite ready to part with, yet they take up way too much room. I’d like to convert them all to MP3 files, but my laptop doesn’t have a disc drive and its hard drive is too small to hold several gigabytes of audio files. What do you suggest?","Even if your computer lacks the storage space or a built-in disc drive, you have ways to transform that pile of dusty boxes into digital music files.",The New York Times,https://www.nytimes.com/2017/02/09/technology/personaltech/digitize-cds.html
2017-02-14T18:58:20+0000,"Big Apple Circus, Sold to the Highest Bidder, Will Return This Fall","The circus, which closed and filed for bankruptcy last year, was sold for $1.3 million and will reopen in time for its 40th anniversary.","The Big Apple Circus, which shut down and filed for bankruptcy last year, is coming back — and just in time for its 40th anniversary.","The circus, which closed and filed for bankruptcy last year, was sold for $1.3 million and will reopen in time for its 40th anniversary.",The New York Times,https://www.nytimes.com/2017/02/14/arts/big-apple-circus-sold-to-the-highest-bidder-will-return-this-fall.html
2017-02-14T10:06:43+0000,Apple Tiptoes Into Producing Original Video but Plans to Pick Up Pace,"The technology giant said it would introduce its first two shows this spring. Others, including scripted dramas, are in the pipeline.","DANA POINT, Calif. — Watch out, Netflix. Apple, the richest company in technology, is finally moving into original video content.","The technology giant said it would introduce its first two shows this spring. Others, including scripted dramas, are in the pipeline.",The New York Times,https://www.nytimes.com/2017/02/14/business/apple-video-amazon-netflix.html
2017-02-20T10:30:02+0000,Wearable Fitness Devices Don’t Seem to Make You Fitter,"Fitbits and Apple Watches and the like may have their uses, but they don’t appear to be effective in weight loss.","I once received a lot of blowback for an Upshot article in which I showed (with evidence) that exercise is not the key to weight loss. Diet is. Many, many readers cannot wrap their head around the notion that adding physical activity, and therefore burning more calories, doesn’t necessarily translate into results on the scale.","Fitbits and Apple Watches and the like may have their uses, but they don’t appear to be effective in weight loss.",The New York Times,https://www.nytimes.com/2017/02/20/upshot/wearable-fitness-devices-dont-seem-to-make-you-more-fit.html
2017-02-14T15:12:18+0000,When (and How) to Enable Safari Reader View,Apple’s browser for its Mac and iOS operating systems has handy controls for making your online reading experience more comfortable,"Q.  Apple’s Safari browser used to have a Reader button on the right side of the address bar that made the webpage show just the text so you could read without videos, ads, animation and other stuff getting in the way. I recently got a new Mac and don’t see this button anymore. Is it gone?",Apple’s browser for its Mac and iOS operating systems has handy controls for making your online reading experience more comfortable,The New York Times,https://www.nytimes.com/2017/02/14/technology/personaltech/safari-reader.html
2017-02-16T22:35:26+0000,Review: James Franco Tackles Steinbeck’s ‘In Dubious Battle’,"Based on the first novel in Steinbeck’s Dust Bowl trilogy, this is a traditional historical drama with stale boilerplate dialogue. Mr. Franco stars and directs.","James Franco’s screen adaptation of John Steinbeck’s 1936 novel, “In Dubious Battle,” about striking California fruit pickers, is the farthest thing imaginable from the titillating provocations for which Mr. Franco is notorious. Along with his films based on William Faulkner’s “As I Lay Dying” and “The Sound and the Fury,” it belongs to the literary subgenre that might be called James Franco’s eat-your-spinach movies.","Based on the first novel in Steinbeck’s Dust Bowl trilogy, this is a traditional historical drama with stale boilerplate dialogue. Mr. Franco stars and directs.",The New York Times,https://www.nytimes.com/2017/02/16/movies/in-dubious-battle-review-james-franco-john-steinback.html
2017-02-14T19:34:44+0000,"Don’t Look Now, but the Great Unbundling Has Spun Into Reverse","Consumers have felt liberated from traditional packages of media, music and retail services, but what they’ve really done is trade one bundle for another.","The internet promised to be the great unbundler. The evisceration of distribution costs would free consumers from paying for cable television channels they never watched, allowing them to bypass cable monopolies and pay only for the shows they wanted. No longer would anyone have to buy a $99-a-month triple-play package when all they wanted was the History Channel.","Consumers have felt liberated from traditional packages of media, music and retail services, but what they’ve really done is trade one bundle for another.",The New York Times,https://www.nytimes.com/2017/02/14/business/dealbook/bundling-online-services.html
2017-02-16T16:42:09+0000,Adding Facebook’s Birthday List to a Calendar Program,The social network offers a simple way to sync friends’ birthdays and other events to your regular datebook app.,Q. Is there a way to get the whole list of friends’ birthdays from Facebook on my Mac’s calendar program and have it stay up-to-date?,The social network offers a simple way to sync friends’ birthdays and other events to your regular datebook app.,The New York Times,https://www.nytimes.com/2017/02/16/technology/personaltech/adding-facebooks-birthday-list-to-a-calendar-program.html
2017-02-15T10:00:13+0000,Why I Still Love TiVo and How a Sous Vide Gadget Rescued Me,"No ads on TiVo is a timesaver, and its interface is better than a cable box, James Poniewozik says.","How do New York Times journalists use technology in their jobs and in their personal lives? James Poniewozik, The Times’s chief television critic, discussed the tech he’s using.","No ads on TiVo is a timesaver, and its interface is better than a cable box, James Poniewozik says.",The New York Times,https://www.nytimes.com/2017/02/15/technology/personaltech/why-i-still-love-tivo-and-how-a-sous-vide-gadget-rescued-me.html
